group,group_definition,n,base_rate_true_positive_rate,predicted_positive_rate,TN,FP,FN,TP,accuracy,precision,recall_TPR,specificity_TNR,FPR,FNR,F1,AUC,base_rate_true_positive_rate_gap_vs_no_identity_mention,predicted_positive_rate_gap_vs_no_identity_mention,accuracy_gap_vs_no_identity_mention,precision_gap_vs_no_identity_mention,recall_TPR_gap_vs_no_identity_mention,FPR_gap_vs_no_identity_mention,FNR_gap_vs_no_identity_mention,F1_gap_vs_no_identity_mention,AUC_gap_vs_no_identity_mention
sexuality_lgbtq,identity_term_mention_from_jigsaw_comment_text,179,0.5921787709497207,0.5754189944134078,64,9,12,94,0.88268156424581,0.912621359223301,0.8867924528301887,0.8767123287671232,0.1232876712328767,0.11320754716981132,0.8995215311004785,0.9646549495993797,0.49899386450046807,0.4848995003191254,-0.09238899078711571,0.035600574003901486,0.03485751171970075,0.11101172171988033,-0.03485751171970072,0.03522565627828789,-0.025828287647302828
disability,identity_term_mention_from_jigsaw_comment_text,90,0.14444444444444443,0.13333333333333333,73,4,5,8,0.9,0.6666666666666666,0.6153846153846154,0.948051948051948,0.05194805194805195,0.38461538461538464,0.64,0.9370629370629371,0.0512595379951918,0.042813839239050897,-0.0750705550329257,-0.2103541185527329,-0.23655032572587253,0.03967210243505558,0.2365503257258726,-0.2242958748221906,-0.05342030018374544
religion_hindu,identity_term_mention_from_jigsaw_comment_text,47,0.0851063829787234,0.1276595744680851,41,2,0,4,0.9574468085106383,0.6666666666666666,1.0,0.9534883720930233,0.046511627906976744,0.0,0.8,1.0,-0.00807852347052923,0.03714008037380266,-0.017623746522287376,-0.2103541185527329,0.14806505888951205,0.034235678393980375,-0.14806505888951205,-0.06429587482219057,0.009516762753317476
religion_jewish,identity_term_mention_from_jigsaw_comment_text,249,0.1686746987951807,0.1566265060240964,200,7,10,32,0.9317269076305221,0.8205128205128205,0.7619047619047619,0.966183574879227,0.033816425120772944,0.23809523809523808,0.7901234567901233,0.9549114331723026,0.07548979234592808,0.06610701192981396,-0.043343647402403596,-0.05650796470657904,-0.09003017920572609,0.021540475607776575,0.09003017920572604,-0.07417241803206731,-0.035571804074379876
race_arab_middle_eastern,identity_term_mention_from_jigsaw_comment_text,129,0.05426356589147287,0.07751937984496124,118,4,1,6,0.9612403100775194,0.6,0.8571428571428571,0.9672131147540983,0.03278688524590164,0.14285714285714285,0.7058823529411764,0.990632318501171,-0.038921340557779766,-0.013000114249321196,-0.013830244955406301,-0.27702078521939955,0.005207916032369142,0.020510935732905272,-0.0052079160323691975,-0.1584135218810142,0.00014908125448842569
race_white,identity_term_mention_from_jigsaw_comment_text,187,0.12834224598930483,0.11764705882352941,158,5,7,17,0.9358288770053476,0.7727272727272727,0.7083333333333334,0.9693251533742331,0.03067484662576687,0.2916666666666667,0.7391304347826088,0.9851738241308793,0.03515733954005219,0.027127564729246975,-0.039241678027578164,-0.10429351249212682,-0.14360160777715458,0.018398897112770502,0.14360160777715464,-0.12516544003958185,-0.005309413115803241
religion_christian,identity_term_mention_from_jigsaw_comment_text,377,0.129973474801061,0.1220159151193634,320,8,11,38,0.9496021220159151,0.8260869565217391,0.7755102040816326,0.975609756097561,0.024390243902439025,0.22448979591836735,0.8,0.9841338974614237,0.03678856835180837,0.03149642102508096,-0.025468433017010628,-0.05093382869766039,-0.07642473702885533,0.012114294389442656,0.0764247370288553,-0.06429587482219057,-0.006349339785258867
race_black,identity_term_mention_from_jigsaw_comment_text,253,0.23715415019762845,0.22529644268774704,189,4,7,53,0.9565217391304348,0.9298245614035088,0.8833333333333333,0.9792746113989638,0.02072538860103627,0.11666666666666667,0.905982905982906,0.9897236614853195,0.14396924374837583,0.13477694859346462,-0.01854881590249091,0.05280377618410925,0.03139839222284535,0.008449439088039901,-0.03139839222284538,0.04168703116071537,-0.000759575761362985
gender_male,identity_term_mention_from_jigsaw_comment_text,2922,0.11396303901437371,0.10403832991101986,2537,52,81,252,0.9544832306639288,0.8289473684210527,0.7567567567567568,0.9799150251062186,0.020084974893781384,0.24324324324324326,0.7912087912087912,0.9755647884268973,0.02077813256512108,0.01351883581673742,-0.020587324368996907,-0.04807341679834687,-0.09517818435373115,0.007809025380785015,0.09517818435373121,-0.07308708361339944,-0.014918448819785213
religion_muslim,identity_term_mention_from_jigsaw_comment_text,170,0.10588235294117647,0.1,149,3,4,14,0.9588235294117647,0.8235294117647058,0.7777777777777778,0.9802631578947368,0.019736842105263157,0.2222222222222222,0.7999999999999999,0.9744152046783625,0.012697446491923836,0.00948050590571757,-0.016247025621160982,-0.05349137345469368,-0.07415716333271016,0.007460892592266788,0.07415716333271016,-0.06429587482219068,-0.016068032568320012
any_identity_mention,identity_term_mention_from_jigsaw_comment_text,4802,0.13369429404414826,0.12265722615576843,4080,80,133,509,0.9556434818825489,0.8641765704584041,0.7928348909657321,0.9807692307692307,0.019230769230769232,0.2071651090342679,0.8269699431356622,0.9808061122094417,0.04050938759489563,0.032137732061486,-0.01942707315037684,-0.012844214760995398,-0.059100050144755834,0.006954819717772863,0.05910005014475586,-0.037325931686528424,-0.00967712503724083
gender_female,identity_term_mention_from_jigsaw_comment_text,1072,0.13152985074626866,0.1166044776119403,914,17,33,108,0.9533582089552238,0.864,0.7659574468085106,0.9817400644468314,0.018259935553168637,0.23404255319148937,0.8120300751879698,0.9825132740666256,0.03834494429701603,0.026084983517657867,-0.021712346077701894,-0.013020785219399533,-0.08597749430197732,0.0059839860401722685,0.08597749430197732,-0.052265799634220844,-0.007969963180056938
race_asian,identity_term_mention_from_jigsaw_comment_text,306,0.06535947712418301,0.06535947712418301,281,5,5,15,0.9673202614379085,0.75,0.75,0.9825174825174825,0.017482517482517484,0.25,0.75,0.9848776223776223,-0.027825429325069623,-0.025160016970099425,-0.007750293595017221,-0.12702078521939952,-0.10193494111048795,0.005206567969521115,0.10193494111048795,-0.11429587482219061,-0.005605614869060194
all_comments,identity_term_mention_from_jigsaw_comment_text,23936,0.10131183155080214,0.09696691176470588,21218,293,397,2028,0.971173128342246,0.8737613097802671,0.8362886597938144,0.9863790618753197,0.013620938124680395,0.16371134020618558,0.8546144121365359,0.988728682088809,0.008126925101549512,0.00644741767042345,-0.0038974266906797173,-0.0032594754391324088,-0.01564628131667356,0.0013449886116840264,0.015646281316673533,-0.00968146268565473,-0.001754555157873483
no_identity_mention,identity_term_mention_from_jigsaw_comment_text,19134,0.09318490644925263,0.09051949409428243,17138,213,264,1519,0.9750705550329257,0.8770207852193995,0.851934941110488,0.9877240504870036,0.012275949512996369,0.14806505888951205,0.8642958748221906,0.9904832372466825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nationality_immigration,identity_term_mention_from_jigsaw_comment_text,83,0.060240963855421686,0.03614457831325301,78,0,2,3,0.9759036144578314,1.0,0.6,1.0,0.0,0.4,0.7499999999999999,1.0,-0.03294394259383095,-0.054374915781029425,0.0008330594249056356,0.12297921478060048,-0.251934941110488,-0.012275949512996369,0.251934941110488,-0.11429587482219072,0.009516762753317476
race_latino,identity_term_mention_from_jigsaw_comment_text,33,0.12121212121212122,0.09090909090909091,29,0,1,3,0.9696969696969697,1.0,0.75,1.0,0.0,0.25,0.8571428571428571,1.0,0.028027214762868582,0.00038959681480847663,-0.005373585335955999,0.12297921478060048,-0.10193494111048795,-0.012275949512996369,0.10193494111048795,-0.007153017679333518,0.009516762753317476
