model,trial,val_micro_f1_tuned,val_macro_f1_tuned,val_weighted_f1_tuned,thresholds,max_features,ngram_range,min_df,max_df,C,class_weight
Logistic Regression,17,0.5982555156490508,0.48873293986402205,0.7094917811159204,"{""toxic"": 0.21947548527285965, ""severe_toxic"": 0.014013184467926041, ""obscene"": 0.2220450564139374, ""threat"": 0.004624132237173895, ""insult"": 0.21784006545026174, ""identity_hate"": 0.017391145668976028}",100000,"(1, 1)",2,0.95,2.0,
Logistic Regression,23,0.5972293483837866,0.48868416508029416,0.7076748405248899,"{""toxic"": 0.2128154935244354, ""severe_toxic"": 0.013049863420871739, ""obscene"": 0.2155441520607852, ""threat"": 0.004532291963582965, ""insult"": 0.2131561175571565, ""identity_hate"": 0.01717810143647668}",100000,"(1, 2)",2,0.95,2.0,
Logistic Regression,24,0.5970827530601773,0.4886402325143931,0.707645874011845,"{""toxic"": 0.6034460370704113, ""severe_toxic"": 0.11028747280898366, ""obscene"": 0.7516006304486801, ""threat"": 0.04063835309945498, ""insult"": 0.7552570043794653, ""identity_hate"": 0.15428298177950328}",100000,"(1, 2)",2,0.95,2.0,balanced
Logistic Regression,5,0.5975225390310049,0.48827499811055125,0.7085079160438188,"{""toxic"": 0.2216704443528386, ""severe_toxic"": 0.014077645301127263, ""obscene"": 0.22449420280583823, ""threat"": 0.004627314618974169, ""insult"": 0.21862584435091778, ""identity_hate"": 0.017551326838793076}",50000,"(1, 1)",2,0.95,2.0,
Logistic Regression,11,0.5964963717657407,0.48743913226306956,0.7071827867836809,"{""toxic"": 0.21506957803165055, ""severe_toxic"": 0.013305949083997737, ""obscene"": 0.21320544052462065, ""threat"": 0.004559374698414454, ""insult"": 0.22083939168645653, ""identity_hate"": 0.017434095534503306}",50000,"(1, 2)",2,0.95,2.0,
Logistic Regression,22,0.594297441911603,0.48716178971382157,0.7038023127656157,"{""toxic"": 0.6069031245053911, ""severe_toxic"": 0.15242386679166167, ""obscene"": 0.7337841137161126, ""threat"": 0.06549649366557983, ""insult"": 0.7551919529327075, ""identity_hate"": 0.21414114112990568}",100000,"(1, 2)",2,0.95,1.0,balanced
Logistic Regression,18,0.5964963717657407,0.48651857479893773,0.7077596836310068,"{""toxic"": 0.6426130932009892, ""severe_toxic"": 0.13086387329512023, ""obscene"": 0.7785980936890294, ""threat"": 0.044853351757405985, ""insult"": 0.7886662666254503, ""identity_hate"": 0.17422565092901351}",100000,"(1, 1)",2,0.95,2.0,balanced
Logistic Regression,6,0.5962031811185223,0.48645005418181214,0.7073843249036563,"{""toxic"": 0.647180053190251, ""severe_toxic"": 0.13224306767989644, ""obscene"": 0.7788169060063433, ""threat"": 0.04531193852873404, ""insult"": 0.7928554628581208, ""identity_hate"": 0.17854528302587708}",50000,"(1, 1)",2,0.95,2.0,balanced
Logistic Regression,21,0.5947372278824306,0.48632133250266624,0.7044396322369956,"{""toxic"": 0.20000991078762015, ""severe_toxic"": 0.01312545716732386, ""obscene"": 0.18149688772395756, ""threat"": 0.004682316460297385, ""insult"": 0.1935284637427231, ""identity_hate"": 0.016813060882824103}",100000,"(1, 2)",2,0.95,1.0,
Logistic Regression,16,0.5950304185296489,0.4863142410846108,0.7055002187019471,"{""toxic"": 0.6354905709609083, ""severe_toxic"": 0.17603748537698646, ""obscene"": 0.7652909943475159, ""threat"": 0.071350012753012, ""insult"": 0.7840037810041554, ""identity_hate"": 0.23570697136693147}",100000,"(1, 1)",2,0.95,1.0,balanced
Logistic Regression,15,0.5953236091768672,0.4862604272455953,0.7059454749473436,"{""toxic"": 0.2048570994082775, ""severe_toxic"": 0.01371101287542693, ""obscene"": 0.196001208146504, ""threat"": 0.004751222643676931, ""insult"": 0.19805826869102497, ""identity_hate"": 0.017294635169964122}",100000,"(1, 1)",2,0.95,1.0,
Logistic Regression,12,0.5945906325588214,0.48612754889983584,0.7051001713835778,"{""toxic"": 0.6215278286236722, ""severe_toxic"": 0.11827622229914422, ""obscene"": 0.7571020220395934, ""threat"": 0.04184097543234256, ""insult"": 0.7781501967117921, ""identity_hate"": 0.17344405307266}",50000,"(1, 2)",2,0.95,2.0,balanced
Logistic Regression,10,0.5934178699699479,0.48609347312429746,0.7030772586765145,"{""toxic"": 0.6233537889574989, ""severe_toxic"": 0.1592743287610464, ""obscene"": 0.7439745285665432, ""threat"": 0.0675583004766106, ""insult"": 0.7715514933781817, ""identity_hate"": 0.23188293042374628}",50000,"(1, 2)",2,0.95,1.0,balanced
Logistic Regression,3,0.5947372278824306,0.48604508342745195,0.7052045796105193,"{""toxic"": 0.20579843501663425, ""severe_toxic"": 0.01373825132907227, ""obscene"": 0.19480466333199545, ""threat"": 0.004765882875324037, ""insult"": 0.19906163363454377, ""identity_hate"": 0.017274842700007238}",50000,"(1, 1)",2,0.95,1.0,
Logistic Regression,9,0.5945906325588214,0.48593777521015996,0.7049710476227897,"{""toxic"": 0.20361496202002471, ""severe_toxic"": 0.013241049901765337, ""obscene"": 0.18630031781147463, ""threat"": 0.004684037185586736, ""insult"": 0.19632254232223842, ""identity_hate"": 0.017055745521074986}",50000,"(1, 2)",2,0.95,1.0,
Logistic Regression,4,0.5940042512643847,0.485389273635523,0.7042966562546386,"{""toxic"": 0.637357286221818, ""severe_toxic"": 0.1767837627916666, ""obscene"": 0.7686318212084446, ""threat"": 0.07129165873282524, ""insult"": 0.7899189399678965, ""identity_hate"": 0.2383124409527991}",50000,"(1, 1)",2,0.95,1.0,balanced
Logistic Regression,13,0.5920985120574653,0.4852210340789181,0.700848128209933,"{""toxic"": 0.19002395237285746, ""severe_toxic"": 0.013080509261518387, ""obscene"": 0.16708200628649297, ""threat"": 0.004734157961692493, ""insult"": 0.17105333292711744, ""identity_hate"": 0.016359190679218996}",100000,"(1, 1)",2,0.95,0.5,
Logistic Regression,1,0.5844384821770794,0.4851467826909361,0.7006653139402864,"{""toxic"": 0.29580946782648604, ""severe_toxic"": 0.013073803193628223, ""obscene"": 0.1655201644875257, ""threat"": 0.004741549877688597, ""insult"": 0.1728852899919171, ""identity_hate"": 0.01641092383998856}",50000,"(1, 1)",2,0.95,0.5,
Logistic Regression,20,0.5906325588213736,0.48505675668723364,0.6985340119683318,"{""toxic"": 0.6022372817827435, ""severe_toxic"": 0.2029688531177816, ""obscene"": 0.7068076424596681, ""threat"": 0.10012499310963141, ""insult"": 0.742941039424696, ""identity_hate"": 0.2793848690021743}",100000,"(1, 2)",2,0.95,0.5,balanced
Logistic Regression,2,0.590925749468592,0.48404585476123746,0.7000910606876407,"{""toxic"": 0.6218454388787532, ""severe_toxic"": 0.2257591909118452, ""obscene"": 0.7335436845420291, ""threat"": 0.10825412960155298, ""insult"": 0.7733347294714544, ""identity_hate"": 0.30213544415170335}",50000,"(1, 1)",2,0.95,0.5,balanced
Logistic Regression,14,0.5906325588213736,0.48380306659329153,0.6995654222174997,"{""toxic"": 0.6200234565965093, ""severe_toxic"": 0.22496086803974058, ""obscene"": 0.733569335874716, ""threat"": 0.10815727056035775, ""insult"": 0.7651636186296483, ""identity_hate"": 0.2991746269731684}",100000,"(1, 1)",2,0.95,0.5,balanced
Logistic Regression,7,0.5910723447922012,0.48377369318808566,0.7001632502232229,"{""toxic"": 0.1874487374471381, ""severe_toxic"": 0.013010819928321829, ""obscene"": 0.15732536892874333, ""threat"": 0.00461426253543167, ""insult"": 0.17167753871704694, ""identity_hate"": 0.01579434248499926}",50000,"(1, 2)",2,0.95,0.5,
Logistic Regression,8,0.5898995822033277,0.48377085195552505,0.698291744159464,"{""toxic"": 0.6144069526057516, ""severe_toxic"": 0.21264132470398786, ""obscene"": 0.7210866294138016, ""threat"": 0.10371763706264939, ""insult"": 0.7537866675643121, ""identity_hate"": 0.2936094691457226}",50000,"(1, 2)",2,0.95,0.5,balanced
Logistic Regression,19,0.5898995822033277,0.4830993914294803,0.6985287826843466,"{""toxic"": 0.18462570696027733, ""severe_toxic"": 0.012986296744749208, ""obscene"": 0.15161715303377277, ""threat"": 0.004550481495073435, ""insult"": 0.1645775633512129, ""identity_hate"": 0.01553769580553503}",100000,"(1, 2)",2,0.95,0.5,
